206 43 245 88 20 68 15 195 53 42 71 134 120 174 119 138 202 118 129 27 28 159 53 238 189 142 250 95 211 4 58 105 , 1
18 40 168 9 15 164 202 110 131 144 57 132 85 132 72 238 178 255 100 88 10 2 61 200 126 77 110 121 149 105 151 58 , 1
62 237 142 1 108 173 199 170 139 108 137 142 73 250 2 39 122 98 114 252 196 119 160 192 178 110 240 111 106 213 154 103 , 1
233 231 108 134 158 88 53 254 206 79 197 230 167 210 94 180 182 228 120 17 63 235 160 9 58 100 134 69 237 219 56 41 , 1
48 203 74 220 89 85 141 115 66 240 76 76 187 125 68 159 56 135 51 67 101 181 235 173 34 22 100 164 144 111 177 169 , 2
40 230 92 35 50 52 46 83 68 18 143 91 49 45 86 237 129 218 5 5 148 30 100 103 141 11 72 199 49 187 144 228 , 2
214 247 143 163 179 124 251 251 167 158 178 253 148 252 221 46 219 125 193 158 125 110 88 234 79 105 126 51 114 152 65 232 , 2
110 241 49 12 140 67 211 163 97 51 217 56 218 228 98 224 74 227 40 238 14 45 252 63 137 199 145 146 100 103 152 73 , 3
215 65 107 64 121 61 113 236 70 174 19 145 152 134 148 8 125 82 141 204 255 145 36 198 51 30 16 124 102 98 101 69 , 3
117 67 212 39 53 58 100 174 132 217 151 220 81 92 86 214 81 165 147 36 181 12 58 27 87 244 247 221 221 122 123 31 , 4
